County,Office,Candidate,Party,District,Votes
,County Council Member,Gary Copeland,Republican,Jefferson,7044
,County Council Member,Gary D. Friend Sr.,Republican,Randolph,6208
,County Council Member,George D Bennett  ,Republican,Noble,8339
,County Council Member,Gerald (Gary) Saunders,Republican,Wayne,12962
,County Council Member,Glen R Bischoff,Republican,Franklin,7582
,County Council Member,Glenn Delbert Wright,Republican,Dearborn,16990
,County Council Member,Greg K Willis,Republican,Pike,3280
,County Council Member,Gregg D Roudebush,Republican,Greene,7726
,County Council Member,Harold R Griffin,Republican,Henry,13034
,County Council Member,Harry W Nolting,Republican,Knox,7919
,County Council Member,Heather Allyn,Republican,Posey,6863
,County Council Member,Heather Traylor Foy,Republican,Jefferson,7255
,County Council Member,Howard L Malcomb,Republican,Jennings,5940
,County Council Member,J. B. BUTLER,Republican,Parke,3989
,County Council Member,Jack D Beckley,Republican,Blackford,2745
,County Council Member,Jack Duncan,Republican,Benton,2121
,County Council Member,Jacki Clamme,Republican,Blackford,2651
,County Council Member,Jackie Monk,Republican,Sullivan,4200
,County Council Member,Jake R Bohlander,Republican,Montgomery,10513
,County Council Member,James Argerbright,Republican,Whitley,8855
,County Council Member,James B (Jim) Davis,Republican,White,6043
,County Council Member,James M. "Mike" Hensley,Republican,Clinton,6984
,County Council Member,James T Papacek,Republican,Howard,14679
,County Council Member,Jason Maxwell,Republican,Morgan,15166
,County Council Member,Jeanne Houchins,Republican,Jay,4392
,County Council Member,JEFF BRILL,Republican,LaGrange,5339
,County Council Member,Jeff Chynoweth,Republican,Clinton,6196
,County Council Member,Jeff DeYoung,Republican,Jasper,8722
,County Council Member,Jeffrey Wayne Adams,Republican,Union,1729
,County Council Member,Jennie Engleman Capelle,Republican,Harrison,11309
,County Council Member,Jerry R Frye,Republican,Greene,7049
,County Council Member,Jesse Bohannon,Republican,Marshall,10074
,County Council Member,JESSICA PIPER,Republican,Delaware,18994
,County Council Member,Jill Anne Hahn,Republican,Vanderburgh,31557
,County Council Member,Jim Allen,Republican,Monroe,20236
,County Council Member,Jim Ashley,Republican,Tipton,4589
,County Council Member,Jim Masterson,Republican,Marshall,11369
,County Council Member,Jim Wulff,Republican,Fayette,5695
,County Council Member,Jo Ann McCracken,Republican,Daviess,7454
,County Council Member,Joan Western,Republican,Whitley,8569
,County Council Member,Joe Kiefer,Republican,Vanderburgh,35537
,County Council Member,John Basham,Republican,Tippecanoe,31936
,County Council Member,John Donaldson,Republican,Miami,7367
,County Council Member,JOHN K. PRATT,Republican,Parke,3595
,County Council Member,John L. Miller ,Republican,Clark,20119
,County Council Member,John Myers,Republican,Johnson,33781
,County Council Member,John Nicoson,Republican,Clay,6652
,County Council Member,JOHN NOLTING,Republican,Jackson,11979
,County Council Member,John P Summers,Republican,Adams,7830
,County Council Member,Joni L Truex,Republican,Kosciusko,20509
,County Council Member,Josh Plue,Republican,Carroll,6334
,County Council Member,Judith (Judy) Swift-Powdrill,Republican,Brown,3993
,County Council Member,Julie Blackwell Chase,Republican,Lawrence,9993
,County Council Member,Julie Johnson Hewetson,Republican,Lawrence,10663
,County Council Member,Karen S Abrams,Republican,Greene,7973
,County Council Member,Kathleen D Groninger,Republican,Kosciusko,22445
,County Council Member,Katie Bailey,Republican,Ripley,8272
,County Council Member,Kay Riker-Peyton,Republican,Fayette,5364
,County Council Member,Keeley R Stingel,Republican,Washington,4658
,County Council Member,Keely Butrum,Republican,Hancock,17852
,County Council Member,Keith Gibson,Republican,Martin,2166
,County Council Member,KELLY CARLSON,Republican,Fountain,185
,County Council Member,KELLY SUMMERVILLE,Republican,Vermillion,2913
,County Council Member,Kendall Hendricks,Republican,Hendricks,41738
,County Council Member,Kenneth C (Ken) Fries,Republican,Allen,74736
,County Council Member,Kenneth R Boswell,Republican,Pulaski,2584
,County Council Member,Kent Fisk,Republican,Hancock,19143
,County Council Member,Kevin L (Casey) Crabb,Republican,White,6098
,County Council Member,Kevin L Underwood,Republican,Tippecanoe,31447
,County Council Member,Kevin L Vissing,Republican,Clark,22819
,County Council Member,Kim S Merideth,Republican,Morgan,15051
,County Council Member,Kirk D Retherford,Republican,Tipton,4658
,County Council Member,Kyle Gardner,Republican,Rush,4508
,County Council Member,Kyle Kerley,Republican,Allen,63841
,County Council Member,Larrin Wampler,Republican,Monroe,17784
,County Council Member,Larry (Ray) Newton Jr.,Republican,Jay,4962
,County Council Member,LARRY L PARKER,Republican,Putnam,8568
,County Council Member,Larry R Hesson,Republican,Hendricks,37291
,County Council Member,LAWRENCE W STAUFFER,Republican,Carroll,6679
,County Council Member,Linda S Smith,Republican,Crawford,2262
,County Council Member,Lisa A Fisher,Republican,Switzerland,2132
,County Council Member,Lorie L Hurst,Republican,Fulton,4724
,County Council Member,Lorissa Sweet,Republican,Wabash,6616
,County Council Member,Lyndi Hughbanks,Republican,Scott,3372
,County Council Member,Lynn Fulkerson,Republican,Perry,4544
,County Council Member,Marcia C Wilhoite,Republican,Boone,19071
,County Council Member,Mark E. (Bubba) Abbott,Republican,Washington,6420
,County Council Member,Mark Peter Telloyan,Republican,F,11024
,County Council Member,Mark Root,Republican,I,8743
,County Council Member,Martha J Lake,Republican,Howard,18929
,County Council Member,MARTIN  BROWN,Republican,Vermillion,3209
,County Council Member,Mary Wysong,Republican,Noble,8388
,County Council Member,Matt Chickadaunce,Republican,Sullivan,4628
,County Council Member,Matt Dillon,Republican,Wabash,7117
,County Council Member,Matt Miller,Republican,Bartholomew,16542
,County Council Member,Matt Minnich,Republican,Jay,4383
,County Council Member,Matthew V Gibson,Republican,Newton,2923
,County Council Member,Max A Smith,Republican,Wayne,10112
,County Council Member,Melanie A Nobbe,Republican,Decatur,7043
,County Council Member,Melinda K. Griesemer,Republican,Johnson,31684
,County Council Member,Michael "Mick" Vanderwall,Republican,Newton,3547
,County Council Member,MICHAEL G STRAWSER,Republican,LaGrange,4836
,County Council Member,Mike Brickner,Republican,Porter,39870
,County Council Member,Mike D. Sprinkle,Republican,Daviess,6486
,County Council Member,Mike Kluesner,Republican,Dubois,10441
,County Council Member,MIKE ROORBACH,Republican,"D1, D2, D3, D4",12607
,County Council Member,Mike Stilwell,Republican,Gibson,7966
,County Council Member,Mikeal Vaughn,Republican,Madison,25626
,County Council Member,Nathan W Evans,Republican,Pike,2505
,County Council Member,Pam Crozier,Republican,Jefferson,7054
,County Council Member,Patricia (Pat) Heffner,Republican,Clay,7119
,County Council Member,Peggy A Ehlers,Republican,Ripley,7263
,County Council Member,PHIL GICK,Republican,Putnam,8240
,County Council Member,Philip Bradley "Brad" Nichols,Republican,Tipton,5123
,County Council Member,Philip Dale,Republican,Wabash,6720
,County Council Member,Phyl Olinger,Republican,Fulton,3980
,County Council Member,Polly  Chesser,Republican,Owen,4543
,County Council Member,R. Brett Turner,Republican,Jackson,10959
,County Council Member,R. Seth Whicker,Republican,Wells,7661
,County Council Member,Randy Leap,Republican,Switzerland,2285
,County Council Member,Richard A Gerdon,Republican,Harrison,11161
,County Council Member,Rick Butterfield,Republican,Lawrence,11558
,County Council Member,Robert A Armstrong,Republican,Allen,72579
,County Council Member,Robin D Lowder,Republican,Hancock,15768
,County Council Member,Robin Stackhouse,Republican,Orange,4480
,County Council Member,Ron Bacon,Republican,Warrick,18902
,County Council Member,Ron Deer,Republican,Johnson,31810
,County Council Member,Ron Kline,Republican,Huntington,9467
,County Council Member,Rondale Brishaber,Republican,Washington,4788
,County Council Member,RUTH (HUGHES) BEER,Republican,Steuben,9362
,County Council Member,Ryan C Goodspeed,Republican,Blackford,2618
,County Council Member,RYAN S WEBB,Republican,Delaware,16518
,County Council Member,Sandy Chittum,Republican,Miami,7877
,County Council Member,Scott  Rudd,Republican,Brown,4291
,County Council Member,SCOTT A ALEXANDER,Republican,Delaware,20098
,County Council Member,Scott Elzey,Republican,Wells,8125
,County Council Member,Shane Bickel,Republican,Huntington,11232
,County Council Member,Shane E. Middlesworth,Republican,"D1, D2, D3, D4",13792
,County Council Member,SHARON HUTCHISON,Republican,Warren,2738
,County Council Member,Sonya L Haas,Republican,Dubois,10360
,County Council Member,STEPHANIE (SUMMITT) CAMPBELL,Republican,Putnam,10297
,County Council Member,Steven (Fish) Fishburn,Republican,Fulton,5333
,County Council Member,Steven B Neice,Republican,Vigo,15902
,County Council Member,STEVEN E MCKOWEN,Republican,LaGrange,4834
,County Council Member,Steven R Nation,Republican,Hamilton,84594
,County Council Member,Sue Ann Mitchell,Republican,Kosciusko,20929
,County Council Member,Sue Maki,Republican,Hamilton,102629
,County Council Member,T Scott Bevington,Republican,Fayette,5559
,County Council Member,Tamara J Elbright,Republican,Ohio,1602
,County Council Member,Ted Metzger,Republican,Warrick,18431
,County Council Member,Terry L Miller,Republican,Huntington,10029
,County Council Member,Thomas E Schaffer,Republican,Daviess,6601
,County Council Member,Thomas W Stump,Republican,Elkhart,42559
,County Council Member,Thomas William (Tom) Bogigian,Republican,Vigo,14977
,County Council Member,Thor A Hodges,Republican,Whitley,9850
,County Council Member,Tim A Overmyer,Republican,Pulaski,3312
,County Council Member,Tim Doll,Republican,Dearborn,18511
,County Council Member,Tim Harman,Republican,Marshall,10736
,County Council Member,Tim Radcliff,Republican,Carroll,6714
,County Council Member,Tina M. Wenger,Republican,Elkhart,42475
,County Council Member,Tracy W Williamson,Republican,Cass,5846
,County Council Member,Travis L Norris,Republican,Vigo,16330
,County Council Member,Vicki Andrews,Republican,Wells,8499
,County Council Member,Vickie Kivett,Republican,Morgan,17798
,County Council Member,Warren D. Albright,Republican,Martin,2552
,County Council Member,Wes Scarbrough,Republican,Sullivan,4064
,County Council Member,WILLIAM "BILL" HARTER,Republican,Steuben,7905
,County Council Member,William (Bill) McConnell,Republican,Gibson,8367
,County Council Member,William E Breeding,Republican,Crawford,2249
,County Council Member,William F. (Bill) Lentz,Republican,Bartholomew,18114
,County Council Member,William W. Metz,Republican,Decatur,7119
,County Council Member,Yvonne Walton,Republican,Ohio,1620
,County Council Member,Zachary Brown,Republican,Orange,4627
,Township Board Member,A. Steve Anderson,Democratic,PI2,6954
,Township Board Member,Andy Whitehurst,Democratic,WR1,7185
,Township Board Member,Angela Demaree,Democratic,LA3,6943
,Township Board Member,Bryan Chatfield,Democratic,WY3,5079
,Township Board Member,Burnice Head,Democratic,PI5,5617
,Township Board Member,Charlotte Scott,Democratic,WY2,8087
,Township Board Member,Cheryl V. Talley Black,Democratic,WR2,4945
,Township Board Member,Claudette Peterson,Democratic,PI4,5416
,Township Board Member,Cynthia Renéa Oda,Democratic,PI3,5435
,Township Board Member,David F Smith,Democratic,WS1,9530
,Township Board Member,David J. Willis,Democratic,PI1,7044
,Township Board Member,Denita Harris,Democratic,WR5,4929
,Township Board Member,Derek Morris,Democratic,LA4,8250
,Township Board Member,Doris Minton Mcneill,Democratic,WY4,5618
,Township Board Member,Ella Hollis,Democratic,WR4,5743
,Township Board Member,Emily L Denton,Democratic,WS4,12837
,Township Board Member,Eric D Poole Sr.,Democratic,WS5,12881
,Township Board Member,Eric Graham,Democratic,FR4,2116
,Township Board Member,Erica Boswell,Democratic,WS3,8851
,Township Board Member,Frances Barker,Democratic,CN4,7333
,Township Board Member,Fred Freeman,Democratic,LA1,9672
,Township Board Member,Gary (Woody) Woodruff,Democratic,WY1,5200
,Township Board Member,Gary W. Sexton,Democratic,FR3,2475
,Township Board Member,George A. Farley,Democratic,CN3,8148
,Township Board Member,Jeremy Burton,Democratic,FR5,2242
,Township Board Member,Jerry Melvin,Democratic,PE3,3975
,Township Board Member,Jesse Dotson,Democratic,LA2,4937
,Township Board Member,Lacy M. Johnson III,Democratic,WS2,12139
,Township Board Member,Latrina Wagner,Democratic,FR2,2216
,Township Board Member,Leisa Lane,Democratic,DE3,1062
,Township Board Member,Linda Journey,Democratic,CN2,10690
,Township Board Member,Martin J. Mahern,Democratic,PE2,2376
,Township Board Member,Phil Webster,Democratic,DE4,1140
,Township Board Member,Phyllis A Carr,Democratic,CN1,13196
,Township Board Member,Ramona Coan-Ward,Democratic,WY5,4340
,Township Board Member,Sharon Anderson,Democratic,LA5,9130
,Township Board Member,Teresa L. Fields,Democratic,DE2,612
,Township Board Member,William Jackson,Democratic,CN5,5509
,Township Board Member,William Klepper,Democratic,WR3,5956
,Township Board Member,Bob Abbott,Republican,FR5,3518
,Township Board Member,Chris Brown,Republican,FR3,4715
,Township Board Member,Craig R. Cordi,Republican,WR5,4486
,Township Board Member,David Knight,Republican,DE5,2191
,Township Board Member,Dino Batalis,Republican,LA3,7915
,Township Board Member,Howard Howe,Republican,PE4,6698
,Township Board Member,Jason Alan Richey,Republican,WY1,4318
,Township Board Member,Jim Sullivan,Republican,PE1,8332
,Township Board Member,John W. Adams,Republican,WS3,6092
,Township Board Member,Joshua Masquelier,Republican,DE2,1100
,Township Board Member,LuCinda (Cindy) Taylor Freund,Republican,DE1,1495
,Township Board Member,Luke W. Schmitt,Republican,DE4,1687
,Township Board Member,M. Paige Green,Republican,FR4,4200
,Township Board Member,Maureen Zimmerman,Republican,FR1,3578
,Township Board Member,Michael G. Uhrick,Republican,WY3,4065
,Township Board Member,Neil Y Mack,Republican,DE3,1785
,Township Board Member,Randall (Randy) D. Decker,Republican,PE3,6306
,Township Board Member,Terry L Trent,Republican,PE2,2788
,Township Board Member,Timothy O'connor,Republican,PE5,6149
,Township Board Member,Todd Colip,Republican,FR2,3044
,Town Clerk-Treasurer,Gina Gillman,Democratic,TOWN OF BROOKVILLE,634
,Town Clerk-Treasurer,SHERRIE A. KOMA,Democratic,CLINTON TWP 03,107
,Town Clerk-Treasurer,Stephanie Berry,Democratic,WHITE RIVER 01,233
,Town Clerk-Treasurer,Susan C Tochell,Democratic,POTTAWATTAMIE PARK,102
,Town Clerk-Treasurer,Terry L. Barnhart,Democratic,Jo In Town,24
,Town Clerk-Treasurer,Diane L. Burton,Independent,HOPE,422
,Town Clerk-Treasurer,Sara Finley,Independent,Fowler,593
,Town Clerk-Treasurer,Angela (Angi) Farrell,Republican,HOLTON,116
,Town Clerk-Treasurer,ANGELA GOLIA,Republican,TOWN OF HILLSBORO,185
,Town Clerk-Treasurer,Cindy R. Gretencord,Republican,Fowler,439
,Town Clerk-Treasurer,Derrike P Kolb,Republican,TOWN OF BROOKVILLE,610
,Town Clerk-Treasurer,Jane Kaverman,Republican,GENEVA,469
,Town Clerk-Treasurer,Julie J Neal,Republican,Wayne,657
